seed,panel,K,method,value,metric,epsilon,delta,sigma_x
9412,b,4,Central DP,0.7009776326358644,l2_error,0.8,5.3843464363939065e-06,
9412,b,4,Optimization only,0.03623836546923383,l2_error,0.8,5.3843464363939065e-06,
9412,b,4,Calibrated gradient noise SD,0.0028572819236943516,noise_sd,0.8,5.3843464363939065e-06,
9412,b,8,Central DP,0.7579339441659293,l2_error,0.8,5.3843464363939065e-06,
9412,b,8,Optimization only,0.007330117628136691,l2_error,0.8,5.3843464363939065e-06,
9412,b,8,Calibrated gradient noise SD,0.004136688736821016,noise_sd,0.8,5.3843464363939065e-06,
9412,b,16,Central DP,1.196089095416604,l2_error,0.8,5.3843464363939065e-06,
9412,b,16,Optimization only,0.007152401521484702,l2_error,0.8,5.3843464363939065e-06,
9412,b,16,Calibrated gradient noise SD,0.005982686257483794,noise_sd,0.8,5.3843464363939065e-06,
9412,b,32,Central DP,1.293982454928233,l2_error,0.8,5.3843464363939065e-06,
9412,b,32,Optimization only,0.007152302793019708,l2_error,0.8,5.3843464363939065e-06,
9412,b,32,Calibrated gradient noise SD,0.008644152046359108,noise_sd,0.8,5.3843464363939065e-06,
