seed,panel,K,method,value,metric,epsilon,delta,sigma_x
9406,c,4,One-shot corrected LDP,0.27655612072820424,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9406,c,4,Optimization only,0.00017247616004904432,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9406,c,8,One-shot corrected LDP,0.27700079234823183,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9406,c,8,Optimization only,0.00017247572938017491,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9406,c,16,One-shot corrected LDP,0.27700088089235925,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9406,c,16,Optimization only,0.0001724757293801748,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9406,c,32,One-shot corrected LDP,0.2770008808923627,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9406,c,32,Optimization only,0.0001724757293801748,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9406,b,1,Central DP,0.5620191222739378,l2_error,0.8,5.3843464363939065e-06,
9406,b,1,Optimization only,0.41938224725561546,l2_error,0.8,5.3843464363939065e-06,
9406,b,1,Calibrated gradient noise SD,0.001358306507113695,noise_sd,0.8,5.3843464363939065e-06,
9406,b,2,Central DP,0.45515884671524304,l2_error,0.8,5.3843464363939065e-06,
9406,b,2,Optimization only,0.18144639258488984,l2_error,0.8,5.3843464363939065e-06,
9406,b,2,Calibrated gradient noise SD,0.0019712969246501225,noise_sd,0.8,5.3843464363939065e-06,
9406,b,4,Central DP,0.6745221418322227,l2_error,0.8,5.3843464363939065e-06,
9406,b,4,Optimization only,0.0359173224623838,l2_error,0.8,5.3843464363939065e-06,
9406,b,4,Calibrated gradient noise SD,0.0028572819236943516,noise_sd,0.8,5.3843464363939065e-06,
9406,b,8,Central DP,0.8198791202476379,l2_error,0.8,5.3843464363939065e-06,
9406,b,8,Optimization only,0.006043390309286848,l2_error,0.8,5.3843464363939065e-06,
9406,b,8,Calibrated gradient noise SD,0.004136688736821016,noise_sd,0.8,5.3843464363939065e-06,
9406,b,16,Central DP,1.0684528952634997,l2_error,0.8,5.3843464363939065e-06,
9406,b,16,Optimization only,0.0056458713645120935,l2_error,0.8,5.3843464363939065e-06,
9406,b,16,Calibrated gradient noise SD,0.005982686257483794,noise_sd,0.8,5.3843464363939065e-06,
9406,b,32,Central DP,1.4012310608339689,l2_error,0.8,5.3843464363939065e-06,
9406,b,32,Optimization only,0.005645486144699383,l2_error,0.8,5.3843464363939065e-06,
9406,b,32,Calibrated gradient noise SD,0.008644152046359108,noise_sd,0.8,5.3843464363939065e-06,
